INVH_TXN_CODE,Document_type, Description
CHTRVZ,Credit Note,
CSRCHD,Credit Note,
CSR-HD,Credit Note,
CSRHTR,Credit Note,
CSR-JD,Credit Note,
CSR-V,Credit Note,
CSRVAD,Credit Note,
DEPOAR,INVOICE,
DEPOBN,INVOICE,
DEPOBW,INVOICE,
DEPOCH,INVOICE,
DEPOFD,INVOICE,
DEPOGB,INVOICE,
DEPOGH,INVOICE,
DEPOGU,INVOICE,
DEPOHD,INVOICE,
DEPOHS,INVOICE,
DEPOIA,INVOICE,
DEPOIN,INVOICE,
DEPOJB,INVOICE,
DEPOJO,INVOICE,
DEPOKO,INVOICE,
DEPOMN,INVOICE,
DEPONP,INVOICE,
DEPOPA,INVOICE,
DEPORA,INVOICE,
DEPORD,INVOICE,
DEPOSO,INVOICE,
DEPOTU,INVOICE,
DEPOUD,INVOICE,
DEPOVR,INVOICE,
DEPOVW,INVOICE,
DSASIL,Debit Note,
DSATAL,Debit Note,
DSA-V,Debit Note,
EINVBC,INVOICE,
EINV-G,INVOICE,
EINVS,INVOICE,
ESRN,Credit Note,Sales Return
INVCHT,INVOICE,
INVCIO,INVOICE,
INVCSK,INVOICE,
INVCVZ,INVOICE,
RTNSIL,Credit Note,Sales Return
SILMOL,INVOICE,
SILNBL,INVOICE,
SILSCP,INVOICE,
SILTRF,INVOICE,
SRTALM,Credit Note,Sales Return
TALBCS,INVOICE,
TALMOL,INVOICE,
TALSCP,INVOICE,
TALTRF,INVOICE,
TDCVIS,INVOICE,
TDVGCB,INVOICE,
TRDEXP,INVOICE,
TRDNDH,INVOICE,
TRDNTR,INVOICE,
